MAHDOUDE,AQUIFER,JALALI_YEAR,PERIOD_START,PERIOD_END_EXCLUSIVE,PROBABLE_IRRIGATED_AREA_HA,ANALYSIS_MASK_AREA_HA,VALID_OBSERVATION_AREA_HA,PROBABLE_PERCENT_OF_ANALYSIS,VALID_PERCENT_OF_ANALYSIS
قلعه میدان,آبخوان شرقی,1404,1404-03-01,1404-07-01,107.7918,2139.7342,2139.7342,5.04,100.0
قلعه میدان,آبخوان غربی,1404,1404-03-01,1404-07-01,0.0,25.5242,25.5242,0.0,100.0
محولات,محولات,1404,1404-03-01,1404-07-01,205.6321,24162.1282,24162.1282,0.85,100.0
مشهد,مشهد,1404,1404-03-01,1404-07-01,10701.1303,79515.9996,79515.9276,13.46,100.0
نریمانی,آبخوان شرقی,1404,1404-03-01,1404-07-01,17.0003,643.4738,643.4738,2.64,100.0
نریمانی,آبخوان شمالی,1404,1404-03-01,1404-07-01,127.4372,335.9989,335.9989,37.93,100.0
نریمانی,نریمانی,1404,1404-03-01,1404-07-01,187.4187,4153.6365,4153.6365,4.51,100.0
نیشابور,نیشابور,1404,1404-03-01,1404-07-01,6987.5187,91615.1209,91615.1209,7.63,100.0
نیشابور,پهنه شمالی,1404,1404-03-01,1404-07-01,19.4112,491.397,491.397,3.95,100.0
کاشمر,سعدالدین,1404,1404-03-01,1404-07-01,2.0591,203.727,203.727,1.01,100.0
کاشمر,کاشمر,1404,1404-03-01,1404-07-01,5057.8258,20591.0053,20591.0053,24.56,100.0
کرات,کرات,1404,1404-03-01,1404-07-01,403.6661,11519.9183,11519.9183,3.5,100.0
کلات نادری,کلات نادری,1404,1404-03-01,1404-07-01,151.7628,1701.9831,1701.9831,8.92,100.0
گناباد,گناباد,1404,1404-03-01,1404-07-01,235.561,2096.5105,2096.5105,11.24,100.0
گیسور,گیسور,1404,1404-03-01,1404-07-01,81.8705,8776.2954,8776.2954,0.93,100.0
ینگجه,ینگجه,1404,1404-03-01,1404-07-01,129.2415,709.9335,709.9335,18.2,100.0
ازغند,ازغند,1405,1405-03-01,1405-07-01,0.0,1782.6298,0.0,0.0,0.0
بجستان - یونسی,بجستان,1405,1405-03-01,1405-07-01,0.0,201.412,0.0,0.0,0.0
بجستان - یونسی,یونسی,1405,1405-03-01,1405-07-01,0.0,1049.0859,0.0,0.0,0.0
بردسکن,بردسکن,1405,1405-03-01,1405-07-01,0.0,18197.7999,0.0,0.0,0.0
تایباد,تایباد,1405,1405-03-01,1405-07-01,0.0,9398.6947,0.0,0.0,0.0
تربت حیدریه,تربت حیدریه,1405,1405-03-01,1405-07-01,0.0,14464.2823,0.0,0.0,0.0
جنگل,جنگل,1405,1405-03-01,1405-07-01,0.0,4669.3602,0.0,0.0,0.0
جوین,جوین,1405,1405-03-01,1405-07-01,0.0,72437.4014,0.0,0.0,0.0
خواف,خواف,1405,1405-03-01,1405-07-01,0.0,10150.7653,0.0,0.0,0.0
داورزن - فرومد,داورزن - فرومد,1405,1405-03-01,1405-07-01,0.0,6347.9876,0.0,0.0,0.0
درونه,درونه,1405,1405-03-01,1405-07-01,0.0,1585.9412,0.0,0.0,0.0
درگز,آبخوان جنوبی,1405,1405-03-01,1405-07-01,0.0,7296.7136,0.0,0.0,0.0
درگز,آبخوان شمالی,1405,1405-03-01,1405-07-01,0.0,5869.6891,0.0,0.0,0.0
دشت رخ,دشت رخ,1405,1405-03-01,1405-07-01,0.0,18266.602,0.0,0.0,0.0
رشتخوار,رشتخوار,1405,1405-03-01,1405-07-01,0.0,13646.4134,0.0,0.0,0.0
ریوش,ریوش,1405,1405-03-01,1405-07-01,0.0,2118.0285,0.0,0.0,0.0
زوزن,زوزن,1405,1405-03-01,1405-07-01,0.0,563.4806,0.0,0.0,0.0
سبزوار,سبزوار,1405,1405-03-01,1405-07-01,0.0,19728.6542,0.0,0.0,0.0
سرخس,سرخس,1405,1405-03-01,1405-07-01,0.0,26221.8714,0.0,0.0,0.0
سنگ بست,سنگ بست,1405,1405-03-01,1405-07-01,0.0,156.4478,0.0,0.0,0.0
شهر نو - باخرز,شهر نو - باخرز,1405,1405-03-01,1405-07-01,0.0,2955.5842,0.0,0.0,0.0
صالح آباد - جنت آباد,آبخوان شرقی,1405,1405-03-01,1405-07-01,0.0,45.2249,0.0,0.0,0.0
صالح آباد - جنت آباد,آبخوان غربی,1405,1405-03-01,1405-07-01,0.0,331.4598,0.0,0.0,0.0
عطائیه,عطائیه,1405,1405-03-01,1405-07-01,0.0,6097.1451,0.0,0.0,0.0
عمرانی - بیمرغ,آبخوان شرقی,1405,1405-03-01,1405-07-01,0.0,1050.8981,0.0,0.0,0.0
عمرانی - بیمرغ,آبخوان غربی,1405,1405-03-01,1405-07-01,0.0,766.8117,0.0,0.0,0.0
عمرانی - بیمرغ,عمرانی,1405,1405-03-01,1405-07-01,0.0,175.8872,0.0,0.0,0.0
فریمان - تربت جام,فریمان - تربت جام,1405,1405-03-01,1405-07-01,0.0,65726.5536,0.0,0.0,0.0
قلعه میدان,آبخوان شرقی,1405,1405-03-01,1405-07-01,0.0,2139.7342,0.0,0.0,0.0
قلعه میدان,آبخوان غربی,1405,1405-03-01,1405-07-01,0.0,25.5242,0.0,0.0,0.0
محولات,محولات,1405,1405-03-01,1405-07-01,0.0,24162.1282,0.0,0.0,0.0
مشهد,مشهد,1405,1405-03-01,1405-07-01,0.0,79515.9996,0.0,0.0,0.0
نریمانی,آبخوان شرقی,1405,1405-03-01,1405-07-01,0.0,643.4738,0.0,0.0,0.0
نریمانی,آبخوان شمالی,1405,1405-03-01,1405-07-01,0.0,335.9989,0.0,0.0,0.0
نریمانی,نریمانی,1405,1405-03-01,1405-07-01,0.0,4153.6365,0.0,0.0,0.0
نیشابور,نیشابور,1405,1405-03-01,1405-07-01,0.0,91615.1209,0.0,0.0,0.0
نیشابور,پهنه شمالی,1405,1405-03-01,1405-07-01,0.0,491.397,0.0,0.0,0.0
کاشمر,سعدالدین,1405,1405-03-01,1405-07-01,0.0,203.727,0.0,0.0,0.0
کاشمر,کاشمر,1405,1405-03-01,1405-07-01,0.0,20591.0053,0.0,0.0,0.0
کرات,کرات,1405,1405-03-01,1405-07-01,0.0,11519.9183,0.0,0.0,0.0
کلات نادری,کلات نادری,1405,1405-03-01,1405-07-01,0.0,1701.9831,0.0,0.0,0.0
گناباد,گناباد,1405,1405-03-01,1405-07-01,0.0,2096.5105,0.0,0.0,0.0
گیسور,گیسور,1405,1405-03-01,1405-07-01,0.0,8776.2954,0.0,0.0,0.0
ینگجه,ینگجه,1405,1405-03-01,1405-07-01,0.0,709.9335,0.0,0.0,0.0
