MAHDOUDE,AQUIFER,LOCATION,XUTM,YUTM,ZONEUTM,X,Y,LEVEL_MSL,LEVEL_SRTM
سبزوار,سبزوار,پیچ حارث آباد,554706,3996486,40,57.61,36.11,909,909
سبزوار,سبزوار,کال حسین آباد گنجی,543780,3998736,40,57.49,36.13,880,880
سبزوار,سبزوار,کال فسنقر,550672,3999598,40,57.56,36.14,889,889
سبزوار,سبزوار,کال مسکن,543518,3999374,40,57.48,36.14,879,879
سبزوار,سبزوار,کال نزل آباد,575423,4002967,40,57.84,36.17,945,945
سبزوار,سبزوار,کلاته آهنگران,561075,4002710,40,57.68,36.17,916,916
سبزوار,سبزوار,کلاته دولت,555338,4001271,40,57.62,36.15,901,901
سبزوار,سبزوار,کنار قنات علی آباد,569486,3995012,40,57.77,36.1,976,976
سرخس,سرخس,14-نوارمرزی,316424,4054512,41,60.95,36.62,257,257
سرخس,سرخس,7-پشت فروردگاه قدیم,332841,4042626,41,61.13,36.51,279,279
سرخس,سرخس,اراضی حسن آباد جر -wa,325084,4045190,41,61.05,36.54,274,274
سرخس,سرخس,اراضی حسن اباد جر-wb,324655,4045424,41,61.04,36.54,273,273
سرخس,سرخس,اول کچولی,328133,4036191,41,61.08,36.46,292,292
سرخس,سرخس,ایستگاه کنترل گاز,328548,4022853,41,61.09,36.34,349,349
سرخس,سرخس,بابالقمان,335943,4049053,41,61.17,36.57,271,271
سرخس,سرخس,بعد از آصف آباد چاه شماره 5,333908,4033279,41,61.15,36.43,295,295
سرخس,سرخس,بعد از قوش سربزی عیسی مختاری,329550,4029350,41,61.1,36.39,305,305
سرخس,سرخس,بلوار امام رضا (ع),336223,4045565,41,61.17,36.54,276,276
سرخس,سرخس,بین تام مختار و کندکلی,327396,4049721,41,61.07,36.58,270,270
سرخس,سرخس,بین تام مختار و کندکلی -1,327184,4049761,41,61.07,36.58,270,270
سرخس,سرخس,بین کچولی وقوش عظیم,331503,4033750,41,61.12,36.43,295,295
سرخس,سرخس,تام  رسول,323711,4049942,41,61.03,36.58,264,264
سرخس,سرخس,جاده شیلات چاه شماره-9,332705,4054228,41,61.13,36.62,262,262
سرخس,سرخس,حاجی جهند,337938,4004477,41,61.2,36.17,346,346
سرخس,سرخس,دامپروری ( 2 ),328220,4040808,41,61.08,36.5,281,281
سرخس,سرخس,راه جنگل چاه شماره-10,328441,4052639,41,61.08,36.6,264,264
سرخس,سرخس,روستای یاس تپه چاه شماره  13,323337,4053146,41,61.02,36.61,264,264
سرخس,سرخس,شماره 1 جاده دولت آباد به صمد,329244,4019211,41,61.1,36.3,332,332
سرخس,سرخس,شماره 2 جاده دولت آباد به صمد,330258,4013785,41,61.11,36.25,407,407
سرخس,سرخس,شیرتپه,335783,3996833,41,61.18,36.1,365,365
سرخس,سرخس,صمداباد,333499,4007943,41,61.15,36.2,358,358
سرخس,سرخس,قبرستان تپه میراحمد,332695,4049486,41,61.13,36.58,276,276
سرخس,سرخس,قبرستان عباس آباد,329921,4046354,41,61.1,36.55,274,274
سرخس,سرخس,قبل از نوروز آباد -- اس9,334051,4018988,41,61.15,36.3,321,321
سرخس,سرخس,قبل ازقوش سربزی شماره4,332993,4029122,41,61.14,36.39,304,304
سرخس,سرخس,قلعه نو چاه شماره 6,334771,4037481,41,61.16,36.47,286,286
سرخس,سرخس,قوش  چاکر,328450,4046773,41,61.08,36.55,276,276
سرخس,سرخس,قوش خزایی,331425,4039673,41,61.12,36.49,283,283
سرخس,سرخس,قوش سربزی,331123,4025930,41,61.12,36.36,313,313
سرخس,سرخس,مسیر خط انتقال آب,330068,4049159,41,61.1,36.57,267,267
سرخس,سرخس,معدن شن وماسه -3,330704,4036539,41,61.11,36.46,286,286
سرخس,سرخس,مقابل منطقه ویژه اقتصادی,324670,4034760,41,61.04,36.44,314,314
سرخس,سرخس,منطقه ویژه تجاری,327360,4032320,41,61.07,36.42,307,307
سرخس,سرخس,نزدیک فرودگاه خط لوله 7,328202,4043802,41,61.08,36.52,277,277
سرخس,سرخس,نزدیک فنسهای فرودگاه,324087,4041753,41,61.04,36.5,287,287
سرخس,سرخس,نهر انقلاب,325017,4039104,41,61.05,36.48,299,299
سرخس,سرخس,نوار مرزی- چاه شماره 12,321029,4056174,41,61,36.63,259,259
سرخس,سرخس,نوارمرزی- چاه شماره 11,328325,4056845,41,61.08,36.64,260,260
سرخس,سرخس,پشت پاسگاه سه گوش,334477,4051375,41,61.15,36.59,270,270
سرخس,سرخس,پشت گازرسانی,333621,4045802,41,61.14,36.54,279,279
سرخس,سرخس,چاه آب شرب,334636,4044798,41,61.15,36.53,277,277
سرخس,سرخس,کلاته مره ای -اس 7,336406,4013001,41,61.18,36.25,331,331
سرخس,سرخس,یاز تپه چاه شماره 2,320848,4053867,41,61,36.61,259,259
سرخس,سرخس,یاس تپه راه جنگل,325760,4054481,41,61.05,36.62,260,260
سنگ بست - سرجام,سنگ بست,شهرک صنعتی کاویان,748332,3976895,40,59.75,35.9,1238,1238
سنگ بست - سرجام,سنگ بست,هدایت آباد,745947,3981190,40,59.73,35.94,1191,1191
شهر نو - باخرز,شهر نو - باخرز,آویان,244440,3882960,41,60.2,35.06,1385,1385
شهر نو - باخرز,شهر نو - باخرز,سه راهی بایی,241515,3896945,41,60.16,35.18,1544,1544
شهر نو - باخرز,شهر نو - باخرز,قلعه سرخ,232818,3896068,41,60.07,35.17,1501,1501
شهر نو - باخرز,شهر نو - باخرز,قلعه سرخ - 2,233916,3894864,41,60.08,35.16,1488,1488
شهر نو - باخرز,شهر نو - باخرز,قلعه نو,241006,3887613,41,60.16,35.1,1430,1430
شهر نو - باخرز,شهر نو - باخرز,نو بهار غلامان,253943,3877552,41,60.3,35.01,1283,1283
صالح آباد - جنت آباد,آبخوان شرقی,ابتدای جاده چشمه تیموری,311275,3959004,41,60.91,35.76,827,827
صالح آباد - جنت آباد,آبخوان شرقی,اراضی میشغال,306320,3960545,41,60.86,35.77,894,894
صالح آباد - جنت آباد,آبخوان شرقی,داخل کال میشغال,308990,3963300,41,60.89,35.8,812,812
صالح آباد - جنت آباد,آبخوان شرقی,روستای چشمه تیموری,312848,3962100,41,60.93,35.79,787,787
صالح آباد - جنت آباد,آبخوان غربی,اراضی ممیز آباد,301235,3969107,41,60.8,35.85,895,895
صالح آباد - جنت آباد,آبخوان غربی,روستای ممیز آباد,296543,3967590,41,60.75,35.83,972,972
صالح آباد - جنت آباد,آبخوان غربی,فاریزک,300447,3964320,41,60.79,35.8,956,956
صالح آباد - جنت آباد,آبخوان غربی,کالکراب,305529,3965215,41,60.85,35.81,868,868
عطاییه,عطاییه,اکتشافی شامکان,606216,3987516,40,58.18,36.03,1074,1074
عطاییه,عطاییه,جنوب حسین آباد,606178,3972555,40,58.18,35.89,1182,1182
عطاییه,عطاییه,جنوب ده حسینی,613053,3974578,40,58.25,35.91,1165,1165
عطاییه,عطاییه,جنوب غرب کال دهنه,608660,3995431,40,58.21,36.1,1038,1038
عطاییه,عطاییه,جنوب نوبهار - کال شهر سوخته,599591,3973416,40,58.1,35.9,1219,1219
عطاییه,عطاییه,جنوب کال هاشم آباد,588143,3999356,40,57.98,36.13,984,984
عطاییه,عطاییه,جنوب یحیی آباد,591683,3983024,40,58.02,35.99,1163,1163
عطاییه,عطاییه,حسین آباد شامکان- بیرون روستا,607170,3976133,40,58.19,35.92,1149,1149
عطاییه,عطاییه,حصار سرخ,619943,3986854,40,58.33,36.02,1058,1058
عطاییه,عطاییه,حوض انبار,595704,3970322,40,58.06,35.87,1284,1284
عطاییه,عطاییه,حوض سفید,622860,3962578,40,58.36,35.8,1284,1284
عطاییه,عطاییه,ده زمین,625495,3967800,40,58.39,35.85,1272,1272
عطاییه,عطاییه,رباط میان,618153,3964993,40,58.31,35.82,1230,1230
عطاییه,عطاییه,ریز آب,619669,3970982,40,58.33,35.88,1218,1218
عطاییه,عطاییه,ریگ منزل - مزرعه سپاه,589445,3978533,40,57.99,35.95,1233,1233
عطاییه,عطاییه,زعفرانیه - روبروی چاه اکتشافی,598165,4002884,40,58.09,36.17,1038,1038
عطاییه,عطاییه,سنگ معدن,611893,3963226,40,58.24,35.81,1234,1234
عطاییه,عطاییه,سنگرد,603042,3966679,40,58.14,35.84,1245,1245
عطاییه,عطاییه,شمال آغل,601809,3992736,40,58.13,36.07,1041,1041
عطاییه,عطاییه,شمال رباط سرپوش,586099,4007917,40,57.96,36.21,1040,1040
عطاییه,عطاییه,شمال شرق آب باریک,591824,4005800,40,58.02,36.19,1039,1039
عطاییه,عطاییه,شمال شرق زعفرانیه,602286,4002777,40,58.14,36.16,1091,1091
عطاییه,عطاییه,شمال کال هاشم آباد,587911,3999989,40,57.98,36.14,982,982
عطاییه,عطاییه,عطاییه,629031,3958381,40,58.43,35.76,1380,1380
عطاییه,عطاییه,غرب جاده رباط سرپوش,584446,4004586,40,57.94,36.18,991,991
عطاییه,عطاییه,غرب نوبهار,599573,3980954,40,58.1,35.97,1144,1144
عطاییه,عطاییه,قلعه بادام,610958,3968352,40,58.23,35.85,1184,1184
عطاییه,عطاییه,لب کال جلین,581167,4000634,40,57.9,36.15,958,958
عطاییه,عطاییه,لب کال زعفرانیه,601082,3999326,40,58.12,36.13,1018,1018
عطاییه,عطاییه,منابع طبیعی - بعد از یحیی آباد,595095,3991939,40,58.06,36.07,1047,1047
عطاییه,عطاییه,نیمه عمیق غفوری,605222,3997820,40,58.17,36.12,1039,1039
عطاییه,عطاییه,پنج کیلومتری شامکان,608755,3989871,40,58.21,36.05,1061,1061
عطاییه,عطاییه,پنج کیلومتری شیر احمد,582677,3998822,40,57.92,36.13,968,968
عطاییه,عطاییه,پنج کیلومتری یحیی آباد,599540,3988833,40,58.1,36.04,1068,1068
عطاییه,عطاییه,کریم آباد,593773,3996717,40,58.04,36.11,1011,1011
عمرانی - بیمرغ,آبخوان شرقی,بیمرغ,681043,3808638,40,58.97,34.4,919,919
عمرانی - بیمرغ,آبخوان شرقی,راه اسو - اروک,686712,3806789,40,59.03,34.39,904,904
عمرانی - بیمرغ,آبخوان شرقی,راه بیمرغ - نوده 1,683391,3813545,40,59,34.45,889,889
عمرانی - بیمرغ,آبخوان شرقی,راه بیمرغ - نوده 2,687400,3815137,40,59.04,34.46,871,871
عمرانی - بیمرغ,آبخوان شرقی,راه نوده - آهنگران,693851,3816380,40,59.11,34.47,857,857
عمرانی - بیمرغ,آبخوان شرقی,راه گناباد - بیمرغ,677403,3812204,40,58.93,34.44,913,913
عمرانی - بیمرغ,آبخوان شرقی,شرق روشناوند,679308,3816832,40,58.95,34.48,893,893
عمرانی - بیمرغ,آبخوان شرقی,شرق سلطانیه,683594,3818229,40,59,34.49,877,877
عمرانی - بیمرغ,آبخوان شرقی,شمال سلطانیه,679703,3822505,40,58.96,34.53,885,885
عمرانی - بیمرغ,آبخوان شرقی,نوده پشنگ,688855,3810733,40,59.06,34.42,886,886
عمرانی - بیمرغ,آبخوان غربی,اراضی عمرانی,653500,3830257,40,58.67,34.6,883,883
عمرانی - بیمرغ,آبخوان غربی,اراضی چاه شیرین,662458,3827862,40,58.77,34.58,876,876
عمرانی - بیمرغ,آبخوان غربی,جاده یونسی,639434,3843150,40,58.52,34.72,870,870
عمرانی - بیمرغ,آبخوان غربی,راه کلاته قیچی,636032,3839171,40,58.49,34.69,899,899
عمرانی - بیمرغ,آبخوان غربی,شمال پاسگاه عمرانی,656487,3826032,40,58.71,34.56,906,906
عمرانی - بیمرغ,آبخوان غربی,مار کوهک,647056,3835163,40,58.6,34.65,878,878
عمرانی - بیمرغ,آبخوان غربی,نخ کوه 1,641360,3838474,40,58.54,34.68,887,887
عمرانی - بیمرغ,آبخوان غربی,نخ کوه 2,644252,3842000,40,58.58,34.71,862,862
عمرانی - بیمرغ,آبخوان غربی,کال شور,662050,3835645,40,58.77,34.65,852,852
عمرانی - بیمرغ,آبخوان غربی,کنار پارکینگ,657536,3829919,40,58.72,34.6,886,886
عمرانی - بیمرغ,آبخوان غربی,یونسی,638708,3848970,40,58.52,34.77,844,844
عمرانی - بیمرغ,عمرانی,روبروی پادگان سپاه,667000,3808850,40,58.82,34.41,1024,1024
عمرانی - بیمرغ,عمرانی,سید آباد,664770,3809554,40,58.79,34.41,1023,1023
عمرانی - بیمرغ,عمرانی,شمال قوژد,659784,3811058,40,58.74,34.43,1036,1036
عمرانی - بیمرغ,عمرانی,شوراب 1,668369,3803429,40,58.83,34.36,1030,1030
فریمان - تربت جام,فریمان - تربت جام,ابدال آباد,250013,3923169,41,60.25,35.42,1157,1157
فریمان - تربت جام,فریمان - تربت جام,احمداباد,289628,3887417,41,60.69,35.11,894,894
فریمان - تربت جام,فریمان - تربت جام,اراضی جعفرآباد,260544,3930168,41,60.36,35.49,1143,1143
فریمان - تربت جام,فریمان - تربت جام,اراضی رحمت آباد,296893,3900453,41,60.77,35.23,858,858
فریمان - تربت جام,فریمان - تربت جام,اراضی رخنه گرگ,234899,3939829,41,60.07,35.57,1260,1260
فریمان - تربت جام,فریمان - تربت جام,اراضی رخنه گرگ  -1,235002,3939755,41,60.08,35.57,1258,1258
فریمان - تربت جام,فریمان - تربت جام,اراضی رضا آباد,290903,3900661,41,60.7,35.23,866,866
فریمان - تربت جام,فریمان - تربت جام,اراضی سفید سنگ,232961,3952476,41,60.05,35.68,1267,1267
فریمان - تربت جام,فریمان - تربت جام,اراضی سماخون,253045,3934559,41,60.28,35.52,1157,1157
فریمان - تربت جام,فریمان - تربت جام,اراضی قلعه گک,303714,3907717,41,60.84,35.29,952,952
فریمان - تربت جام,فریمان - تربت جام,اراضی قلندر آباد,229444,3946837,41,60.01,35.63,1313,1313
فریمان - تربت جام,فریمان - تربت جام,اراضی محمد آباد غرب قصاب,294731,3872441,41,60.75,34.97,898,898
فریمان - تربت جام,فریمان - تربت جام,اراضی مومن آباد,250947,3932107,41,60.25,35.5,1122,1122
فریمان - تربت جام,فریمان - تربت جام,اراضی نصرآباد,257044,3919439,41,60.33,35.39,1115,1115
فریمان - تربت جام,فریمان - تربت جام,اراضی نصرآباد سردق,258790,3925282,41,60.34,35.44,1074,1074
فریمان - تربت جام,فریمان - تربت جام,اراضی کوشکک,298869,3908566,41,60.79,35.3,954,954
فریمان - تربت جام,فریمان - تربت جام,الیاقی,311015,3885892,41,60.93,35.1,761,761
فریمان - تربت جام,فریمان - تربت جام,امیر آباد,285767,3913449,41,60.64,35.34,964,964
فریمان - تربت جام,فریمان - تربت جام,اول جاده الیا,292247,3878868,41,60.72,35.03,891,891
فریمان - تربت جام,فریمان - تربت جام,اکتشافی قلعه نو,766955,3955010,40,59.95,35.7,1327,1327
فریمان - تربت جام,فریمان - تربت جام,بژگان,294343,3894736,41,60.74,35.17,836,836
فریمان - تربت جام,فریمان - تربت جام,بین بهرامی و نصرت,297020,3881980,41,60.77,35.06,842,842
فریمان - تربت جام,فریمان - تربت جام,تیمنک,278851,3916998,41,60.57,35.37,1002,1002
فریمان - تربت جام,فریمان - تربت جام,جاده خاور,301892,3879040,41,60.83,35.03,823,823
فریمان - تربت جام,فریمان - تربت جام,جاده شاهان گرماب,239870,3948760,41,60.13,35.65,1228,1228
فریمان - تربت جام,فریمان - تربت جام,خرم آباد,261909,3919029,41,60.38,35.39,1072,1072
فریمان - تربت جام,فریمان - تربت جام,خیر آباد,251417,3927142,41,60.26,35.46,1125,1125
فریمان - تربت جام,فریمان - تربت جام,دولت اباد,303794,3883364,41,60.85,35.07,806,806
فریمان - تربت جام,فریمان - تربت جام,فریمان - راه اقر,760477,3957588,40,59.88,35.73,1364,1364
فریمان - تربت جام,فریمان - تربت جام,فریمان پلیس راه,758029,3952975,40,59.85,35.69,1420,1420
فریمان - تربت جام,فریمان - تربت جام,محمد آباد,313160,3890720,41,60.95,35.14,777,777
فریمان - تربت جام,فریمان - تربت جام,محمود آباد علیا,271049,3921797,41,60.48,35.41,1037,1037
فریمان - تربت جام,فریمان - تربت جام,مقابل میش مست,305545,3892503,41,60.87,35.16,799,799
فریمان - تربت جام,فریمان - تربت جام,منصوریه,303276,3885981,41,60.84,35.1,800,800
فریمان - تربت جام,فریمان - تربت جام,نیل آباد,296082,3888405,41,60.76,35.12,834,834
فریمان - تربت جام,فریمان - تربت جام,پاسگاه مالکی - کاریزنو,244355,3932092,41,60.18,35.5,1211,1211
فریمان - تربت جام,فریمان - تربت جام,پیزومتر قلعه خاکی,309269,3878151,41,60.91,35.03,791,791
فریمان - تربت جام,فریمان - تربت جام,پیزومتر قلعه نو,766231,3951286,40,59.94,35.67,1360,1360
فریمان - تربت جام,فریمان - تربت جام,چاه کهنه,305545,3901190,41,60.86,35.23,857,857
فریمان - تربت جام,فریمان - تربت جام,چشمه جوهر,265285,3927185,41,60.41,35.46,1115,1115
فریمان - تربت جام,فریمان - تربت جام,چشمه گل,290906,3914595,41,60.7,35.35,992,992
فریمان - تربت جام,فریمان - تربت جام,کلاته حاجی برات,247399,3938460,41,60.21,35.56,1172,1172
فریمان - تربت جام,فریمان - تربت جام,کیلومتر 15 تربت جام,272571,3912784,41,60.5,35.33,1010,1010
فریمان - تربت جام,فریمان - تربت جام,کیلومتر 5 تربت جام,278275,3907163,41,60.56,35.28,956,956
فریمان - تربت جام,فریمان - تربت جام,یاقوتی خرابه,288277,3908090,41,60.67,35.29,916,916
قلعه میدان,توندر - چهل دختر,پیزومتر شماره 2 علی آباد,634045,3934329,40,58.48,35.54,1890,1890
قلعه میدان,چاه شيرين,دق چاه شیرین,579057,3948789,40,57.87,35.68,1597,1597
محولات - فیض آباد,محولات,No Name-1,608375,3876794,40,58.19,35.03,825,825
محولات - فیض آباد,محولات,No Name-2,610700,3871450,40,58.21,34.98,810,810
محولات - فیض آباد,محولات,No Name-3,613965,3876296,40,58.25,35.02,822,822
محولات - فیض آباد,محولات,اراضی خالصه,662194,3871770,40,58.78,34.98,901,901
محولات - فیض آباد,محولات,اراضی مهنه تپه خاک,667890,3872241,40,58.84,34.98,936,936
محولات - فیض آباد,محولات,برجک خرابه,641409,3865488,40,58.55,34.92,836,836
محولات - فیض آباد,محولات,بین ریگی و قربان آباد,643399,3870127,40,58.57,34.96,847,847
محولات - فیض آباد,محولات,بین فتح آباد فیض آباد,655200,3869500,40,58.7,34.96,879,879
محولات - فیض آباد,محولات,بین میاندهی ویونسی,642084,3858057,40,58.55,34.85,840,840
محولات - فیض آباد,محولات,جاده شمس آباد (1),653743,3874873,40,58.68,35,886,886
محولات - فیض آباد,محولات,جاده شمس آباد (2),646343,3872172,40,58.6,34.98,858,858
محولات - فیض آباد,محولات,جاده کاشمر,654753,3880619,40,58.7,35.06,913,913
محولات - فیض آباد,محولات,جاده گناباد,666318,3864842,40,58.82,34.91,903,903
محولات - فیض آباد,محولات,جنوب جنت آباد,649843,3866603,40,58.64,34.93,860,860
محولات - فیض آباد,محولات,حوض علی اکبر,606404,3870498,40,58.17,34.97,816,816
محولات - فیض آباد,محولات,ده نو - میر ملک,637608,3870722,40,58.51,34.97,829,829
محولات - فیض آباد,محولات,راه چین چین,647204,3876330,40,58.61,35.02,869,869
محولات - فیض آباد,محولات,شرق عبدل آباد,665996,3882732,40,58.82,35.07,991,991
محولات - فیض آباد,محولات,شرق فتح آباد,655091,3864338,40,58.7,34.91,869,869
محولات - فیض آباد,محولات,شرق فتح آباد کنار درختان توت,660185,3866867,40,58.75,34.93,885,885
محولات - فیض آباد,محولات,شمال جنت آباد,649851,3870775,40,58.64,34.97,861,861
محولات - فیض آباد,محولات,شمال شمس آباد,643031,3880088,40,58.57,35.05,862,862
محولات - فیض آباد,محولات,شمال مهنه,669535,3876432,40,58.86,35.02,971,971
محولات - فیض آباد,محولات,شمس آباد,641890,3876417,40,58.56,35.02,850,850
محولات - فیض آباد,محولات,غرب عبدل آباد,659986,3879733,40,58.75,35.05,934,934
محولات - فیض آباد,محولات,غرب فیض آباد,658790,3874489,40,58.74,35,907,907
محولات - فیض آباد,محولات,فیض آباد روبروی توس داشت,664891,3875856,40,58.81,35.01,941,941
محولات - فیض آباد,محولات,مهدی آباد 2,610689,3871392,40,58.21,34.98,811,811
محولات - فیض آباد,محولات,میاندهی,647206,3860682,40,58.61,34.88,843,843
محولات - فیض آباد,محولات,نصر آباد دوغ آباد,672244,3880681,40,58.89,35.05,1022,1022
محولات - فیض آباد,محولات,نو بهار شرق میاندهی,653348,3859460,40,58.68,34.87,854,854
محولات - فیض آباد,محولات,چاه خرما,637604,3878680,40,58.51,35.04,842,842
محولات - فیض آباد,محولات,کنار بند خاکی همت آباد,649917,3879690,40,58.64,35.05,897,897
محولات - فیض آباد,محولات,گندور 1,608387,3876826,40,58.19,35.03,825,825
محولات - فیض آباد,محولات,گندور 2,613972,3876287,40,58.25,35.02,822,822
مشهد - چناران,مشهد,آقارچی,656170,4090497,40,58.75,36.95,1335,1335
مشهد - چناران,مشهد,اخلمد,677278,4062239,40,58.98,36.69,1220,1220
مشهد - چناران,مشهد,اراضی جیم آباد,752913,3999822,40,59.81,36.11,979,979
مشهد - چناران,مشهد,اراضی قاسم آباد,726015,4027410,40,59.52,36.37,1046,1046
مشهد - چناران,مشهد,اراضی قزلکن (شمال غرب سید آباد),672031,4070826,40,58.93,36.77,1169,1169
مشهد - چناران,مشهد,اراضی کنه بیست,751349,4023288,40,59.8,36.32,919,919
مشهد - چناران,مشهد,افصل آباد,676864,4072818,40,58.98,36.78,1167,1167
مشهد - چناران,مشهد,التیمور,742998,4022196,40,59.71,36.31,922,922
مشهد - چناران,مشهد,امرقان فردوسی,730878,4035024,40,59.58,36.43,991,991
مشهد - چناران,مشهد,امرقان هلالی,748390,4025453,40,59.77,36.34,934,934
مشهد - چناران,مشهد,امور آب مشهد,731000,4021710,40,59.57,36.31,1000,1000
مشهد - چناران,مشهد,انبار سیس آباد,737921,4025889,40,59.65,36.35,940,940
مشهد - چناران,مشهد,اول جاده بوفالو,758340,3999334,40,59.87,36.1,983,983
مشهد - چناران,مشهد,بحر آباد,729747,4026916,40,59.56,36.36,1005,1005
مشهد - چناران,مشهد,بلوار تلویزیون,729787,4019166,40,59.56,36.29,1023,1023
مشهد - چناران,مشهد,بلوار جنگل,734537,4014318,40,59.61,36.25,1011,1011
مشهد - چناران,مشهد,بلوار راه آهن,734735,4021641,40,59.61,36.31,982,982
مشهد - چناران,مشهد,بلوارفردوسی,730024,4023054,40,59.56,36.33,1015,1015
مشهد - چناران,مشهد,تخم مرز,727286,4031492,40,59.53,36.4,1007,1007
مشهد - چناران,مشهد,تغذیه مصنوعی شاندیز,713796,4034737,40,59.39,36.43,1162,1162
مشهد - چناران,مشهد,تنگل شور- مرغ پردک,754007,4004877,40,59.82,36.16,947,947
مشهد - چناران,مشهد,جمع آب,690926,4054472,40,59.13,36.62,1200,1200
مشهد - چناران,مشهد,جوی پايين (اكتشافی),706463,4054296,40,59.31,36.61,1075,1075
مشهد - چناران,مشهد,جوی پایین,706463,4054296,40,59.31,36.61,1074,1074
مشهد - چناران,مشهد,جیم آباد,748587,3998378,40,59.76,36.1,1008,1008
مشهد - چناران,مشهد,حاجی آباد,671189,4075603,40,58.92,36.81,1175,1175
مشهد - چناران,مشهد,حسن آبادویرانی,715869,4033747,40,59.41,36.42,1134,1134
مشهد - چناران,مشهد,خرم آباد,685188,4054079,40,59.07,36.61,1215,1215
مشهد - چناران,مشهد,خواجه اباصلت,740202,4007029,40,59.67,36.18,1002,1002
مشهد - چناران,مشهد,خواجه اباصلت -1,739867,4008497,40,59.67,36.19,1000,1000
مشهد - چناران,مشهد,خواجه ربیع,736059,4024922,40,59.63,36.34,967,967
مشهد - چناران,مشهد,خیر آباد,683674,4059588,40,59.06,36.66,1180,1180
مشهد - چناران,مشهد,خین عرب,733658,4028714,40,59.6,36.38,958,958
مشهد - چناران,مشهد,دانشگاه-پارک ملت,727074,4022183,40,59.53,36.32,1035,1035
مشهد - چناران,مشهد,درنگون,701847,4055553,40,59.26,36.62,1093,1093
مشهد - چناران,مشهد,دستگردان 2,747145,4015171,40,59.75,36.25,946,946
مشهد - چناران,مشهد,دوغایی,644316,4088944,40,58.62,36.94,1357,1357
مشهد - چناران,مشهد,ذهاب 1,696433,4056592,40,59.2,36.63,1148,1148
مشهد - چناران,مشهد,ذهاب 2,696597,4056590,40,59.2,36.63,1145,1145
مشهد - چناران,مشهد,رضا آباد شرقی,657811,4084465,40,58.77,36.89,1228,1228
مشهد - چناران,مشهد,ریاض,677200,4078500,40,58.99,36.84,1204,1204
مشهد - چناران,مشهد,ریاض -1,675838,4076776,40,58.97,36.82,1184,1184
مشهد - چناران,مشهد,ساروجه,684615,4064239,40,59.07,36.71,1159,1159
مشهد - چناران,مشهد,سرآسیاب فردوسی,724501,4040476,40,59.51,36.48,1000,1000
مشهد - چناران,مشهد,سنگ سفید,697135,4044157,40,59.2,36.52,1263,1263
مشهد - چناران,مشهد,سهل الدین,719518,4043741,40,59.45,36.51,1014,1014
مشهد - چناران,مشهد,سید آباد,672106,4066289,40,58.93,36.73,1194,1194
مشهد - چناران,مشهد,شاندیز شهرداری,706300,4034500,40,59.3,36.43,1267,1267
مشهد - چناران,مشهد,شایه,736650,4029932,40,59.64,36.39,954,954
مشهد - چناران,مشهد,شفیع,658895,4075308,40,58.78,36.81,1249,1249
مشهد - چناران,مشهد,شورچه,653069,4088436,40,58.72,36.93,1262,1262
مشهد - چناران,مشهد,شیرحصار,713870,4049970,40,59.39,36.57,1070,1070
مشهد - چناران,مشهد,عباس آباد نهرآباد,693522,4065318,40,59.17,36.71,1119,1119
مشهد - چناران,مشهد,عبدل آباد,703410,4045780,40,59.27,36.54,1158,1158
مشهد - چناران,مشهد,عسکریه,714338,4041204,40,59.39,36.49,1074,1074
مشهد - چناران,مشهد,قاسم آباد,722497,4026449,40,59.48,36.36,1101,1101
مشهد - چناران,مشهد,قرقی - آهکی,740960,4029826,40,59.69,36.38,965,965
مشهد - چناران,مشهد,قره تپه,664467,4078956,40,58.84,36.84,1189,1189
مشهد - چناران,مشهد,قره جنگل,709078,4052025,40,59.34,36.59,1070,1070
مشهد - چناران,مشهد,قره جنگل -1,708977,4052306,40,59.34,36.59,1069,1069
مشهد - چناران,مشهد,قره چاه,648701,4082298,40,58.67,36.87,1312,1312
مشهد - چناران,مشهد,قزل حصار,689200,4069550,40,59.12,36.75,1137,1137
مشهد - چناران,مشهد,قزل حصار -1,689487,4069329,40,59.12,36.75,1137,1137
مشهد - چناران,مشهد,قلعه ساختمان,741367,4015704,40,59.69,36.26,959,959
مشهد - چناران,مشهد,قهقه,728419,4033256,40,59.55,36.42,972,972
مشهد - چناران,مشهد,قوزقان,760157,4013467,40,59.89,36.23,873,873
مشهد - چناران,مشهد,قیاس آباد 2,751460,4018642,40,59.8,36.28,895,895
مشهد - چناران,مشهد,مزرعه نمونه,747196,4005311,40,59.75,36.16,967,967
مشهد - چناران,مشهد,مزرعه نمونه - روبروی شهرک رضویه,747460,4010110,40,59.75,36.2,954,954
مشهد - چناران,مشهد,مسکران,727803,4038731,40,59.54,36.47,994,994
مشهد - چناران,مشهد,مسکران -1,727272,4038930,40,59.54,36.47,996,996
مشهد - چناران,مشهد,مغان,682322,4073558,40,59.04,36.79,1176,1176
مشهد - چناران,مشهد,ملی,682324,4066381,40,59.04,36.73,1153,1153
مشهد - چناران,مشهد,مهدی آباد سرآسیاب,724600,4029000,40,59.5,36.38,1049,1049
مشهد - چناران,مشهد,مومن آباد,657277,4080600,40,58.76,36.86,1238,1238
مشهد - چناران,مشهد,موچنان,662261,4083309,40,58.82,36.88,1220,1220
مشهد - چناران,مشهد,نومهن,697174,4062462,40,59.21,36.69,1108,1108
مشهد - چناران,مشهد,هاشم آباد,703714,4040676,40,59.27,36.49,1225,1225
